Feature,Sub Feature,Test ID,Priority,Precondition,Manual Test Steps,Expected Result,FE Screen,Provider/BLoC,Service,Repository,API/WS,Handler,Usecase,DB Table,Migration,Validation,Auth,Business Logic,Integration FE->BE,Integration BE->DB,Integration WS,Logging,Analytics,Error Handling,Loading,Empty State,Retry,Offline,Reconnect,Security,Performance,Regression,Cross Check,Evidence,PASS/FAIL,Bug ID,Fix Required,Retest,Notes
Stats & Ranking,Player Stats,STA-0582,Critical,User logged in,Execute Player Stats (Integration) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getStats(),Verify repository,GET /api/stats,HandleStats,Verify usecase,player_stats,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Player Stats,STA-0583,Critical,User logged in,Execute Player Stats (Regression) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getStats(),Verify repository,GET /api/stats,HandleStats,Verify usecase,player_stats,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0584,High,User logged in,Execute Match History (Happy Path) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,limit param 1-100,JWT required,Returns recent matches with results/roles/duration,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0585,High,User logged in,Execute Match History (Validation) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,limit=0 / limit=999 / negative,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0586,High,User logged in,Execute Match History (Error) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0587,High,User logged in,Execute Match History (Edge Case) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,Verify validation,JWT required,0 matches / pagination boundary,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0588,High,User logged in,Execute Match History (Integration) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Match History,STA-0589,High,User logged in,Execute Match History (Regression) end-to-end,Behavior matches specification without crash,pages/stats/,authProvider,ApiService.getHistory(),Verify repository,GET /api/history,HandleMatchHistory,Verify usecase,match_history,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0590,High,User logged in,Execute Rank MMR (Happy Path) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Returns rating/tier/progress/next_tier,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0591,High,User logged in,Execute Rank MMR (Validation) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0592,High,User logged in,Execute Rank MMR (Error) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0593,High,User logged in,Execute Rank MMR (Edge Case) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Promotion/demotion boundary / max tier,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0594,High,User logged in,Execute Rank MMR (Integration) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,Rank MMR,STA-0595,High,User logged in,Execute Rank MMR (Regression) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,ApiService.getRankInfo(),Verify repository,GET /api/rank,HandleRankInfo,Verify usecase,ranking,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0596,Medium,User logged in + game completed,Execute XP Level (Happy Path) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,XP awarded after game / level up triggers,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0597,Medium,User logged in + game completed,Execute XP Level (Validation) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0598,Medium,User logged in + game completed,Execute XP Level (Error) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0599,Medium,User logged in + game completed,Execute XP Level (Edge Case) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,Max level / XP overflow / bot game XP,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0600,Medium,User logged in + game completed,Execute XP Level (Integration) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Stats & Ranking,XP Level,STA-0601,Medium,User logged in + game completed,Execute XP Level (Regression) end-to-end,Behavior matches specification without crash,Verify screen,authProvider,Verify service,Verify repository,Part of game_ended flow,HandleStats,Verify usecase,xp/profiles,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,N/A,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0602,Medium,User logged in + WS connected,Execute Public Room List (Happy Path) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms + GET /api/rooms/public,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Returns list of joinable public rooms,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0603,Medium,User logged in + WS connected,Execute Public Room List (Validation) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0604,Medium,User logged in + WS connected,Execute Public Room List (Error) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0605,Medium,User logged in + WS connected,Execute Public Room List (Edge Case) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,0 rooms / max rooms limit reached / all rooms full,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0606,Medium,User logged in + WS connected,Execute Public Room List (Integration) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Public Room List,ROO-0607,Medium,User logged in + WS connected,Execute Public Room List (Regression) end-to-end,Behavior matches specification without crash,pages/room/,roomProvider,WebSocketService,Verify repository,WS get_public_rooms,handleGetPublicRooms,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0608,Medium,Game in progress + user not in room,Execute Spectator (Happy Path) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Can view game state without participating / filtered state,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0609,Medium,Game in progress,Execute Spectator (Validation) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Invalid room / room not playing,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0610,Medium,Game in progress,Execute Spectator (Error) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0611,Medium,Game in progress,Execute Spectator (Edge Case) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Spectator can NOT vote/chat/act / game ends while spectating,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0612,Medium,Game in progress,Execute Spectator (Integration) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
Room,Spectator,ROO-0613,Medium,Game in progress,Execute Spectator (Regression) end-to-end,Behavior matches specification without crash,pages/game/,gameProvider,WebSocketService,Verify repository,WS spectate_game,handleSpectateGame,Verify usecase,rooms,Verify migration,Verify validation,JWT required,Verify business rules,FE calls correct BE,DB updated correctly,WS event handled,Log created,Analytics created,Graceful error,Loading OK,Empty state OK,Retry OK,Offline handled,Reconnect handled,Security OK,Performance OK,No feature broken,"Cross-check: UI↔Provider↔API↔Handler↔Service↔Repo↔DB↔WS↔Log↔Analytics. Mark FAIL if any missing.",Screenshot/Log/API response,NOT RUN,,YES,,
